id,pid,ms_zoning,lot_frontage,lot_area,lot_shape,lot_config,neighborhood,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod_add,roof_style,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,foundation,bsmt_qual,bsmtfin_type_1,bsmtfin_type_2,total_bsmt_sf,heating_qc,1st_flr_sf,2nd_flr_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_qual,totrms_abvgrd,fireplaces,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,fence,mo_sold,yr_sold,saleprice,house_age,remod_years,tot_bath,tot_outdoor_space,price_per_sqft,log_saleprice
1044,527451290,RM,21.0,1680,Reg,Inside,BrDale,Twnhs,2Story,6,5,1971,1971,Gable,HdBoard,HdBoard,BrkFace,232.0,TA,CBlock,TA,ALQ,Unf,483.0,TA,483,504,987,0.0,0.0,1,1,2,TA,4,0,Detchd,1971.0,Unf,1.0,264.0,Y,0,0,0,0,0,none,7,2008,85400,37,37,1.5,0,58.095238095238095,11.355101379776661
2752,906380150,RL,64.0,7488,IR1,Inside,CollgCr,1Fam,1Story,7,5,2005,2005,Gable,VinylSd,VinylSd,None,0.0,Gd,PConc,Gd,GLQ,Unf,1208.0,Ex,1208,0,1208,0.0,0.0,2,0,2,Gd,6,0,Attchd,2005.0,RFn,2.0,632.0,Y,105,58,0,0,0,none,2,2006,183600,1,1,2.0,163,75.99337748344371,12.120514757168527
807,906226060,RL,120.0,26400,Reg,FR2,SawyerW,1Fam,2Story,5,7,1880,2007,Gable,HdBoard,HdBoard,None,0.0,Gd,PConc,none,none,none,0.0,Ex,1288,728,2016,0.0,0.0,1,0,4,TA,7,1,Attchd,1900.0,Unf,2.0,576.0,P,0,0,0,0,0,none,6,2009,131000,129,2,1.0,0,64.98015873015873,11.782952602183288
1177,533236070,FV,24.0,2645,Reg,Inside,Somerst,Twnhs,2Story,8,5,1999,2000,Gable,MetalSd,MetalSd,BrkFace,456.0,Gd,PConc,Gd,GLQ,Unf,960.0,Ex,962,645,1607,1.0,0.0,2,1,3,Gd,7,0,Detchd,2000.0,Unf,2.0,480.0,Y,169,0,0,0,0,none,12,2008,200000,9,8,3.5,169,77.91195948578107,12.206072645530174
1480,907418040,RL,74.0,9627,Reg,Inside,CollgCr,1Fam,1Story,7,5,2007,2007,Gable,VinylSd,VinylSd,None,0.0,Gd,PConc,Gd,GLQ,Unf,1351.0,Ex,1361,0,1361,0.0,0.0,2,0,3,Gd,6,0,Attchd,2007.0,RFn,2.0,610.0,Y,0,50,0,0,0,none,6,2008,193000,1,1,2.0,50,71.16519174041298,12.170445467887022
324,923202105,RL,93.0,10114,Reg,Inside,Mitchel,1Fam,1Story,5,5,2004,2005,Gable,VinylSd,VinylSd,None,0.0,TA,PConc,Ex,Unf,Unf,1430.0,Ex,1430,0,1430,0.0,0.0,2,0,3,Gd,7,0,Attchd,2004.0,RFn,2.0,624.0,Y,0,0,0,0,0,none,3,2010,173500,6,5,2.0,0,60.66433566433567,12.063932878369052
1311,902301140,RM,34.0,4571,Reg,Inside,OldTown,1Fam,2Story,5,5,1916,1950,Gable,AsbShng,AsbShng,None,0.0,TA,BrkTil,TA,Unf,Unf,624.0,Fa,624,720,1344,0.0,0.0,1,0,4,TA,7,0,Detchd,1916.0,Unf,3.0,513.0,Y,0,0,96,0,0,none,5,2008,98000,92,58,1.0,96,49.796747967479675,11.49272275765271
770,905101490,RL,80.0,8816,Reg,Corner,Sawyer,1Fam,1Story,5,6,1963,1963,Gable,VinylSd,VinylSd,None,0.0,TA,PConc,TA,Rec,Unf,1121.0,TA,1121,0,1121,1.0,0.0,1,0,3,TA,5,0,Detchd,1963.0,Unf,2.0,480.0,Y,0,80,0,0,0,MnPrv,6,2009,139000,46,46,2.0,80,61.99821587867975,11.842229212112828
2063,905107140,RL,71.0,8197,Reg,Inside,Sawyer,1Fam,1Story,6,5,1977,1977,Gable,Plywood,Plywood,BrkFace,148.0,TA,CBlock,TA,Unf,Unf,660.0,Ex,1285,0,1285,0.0,0.0,1,1,3,TA,7,1,Attchd,1977.0,RFn,2.0,528.0,Y,138,0,0,0,0,MnPrv,4,2007,143500,30,30,1.5,138,73.7789203084833,11.874090314181814
69,528458070,FV,72.0,8640,Reg,Inside,Somerst,1Fam,2Story,7,5,2009,2009,Gable,VinylSd,VinylSd,None,0.0,TA,PConc,Gd,GLQ,Unf,756.0,Ex,764,783,1547,0.0,0.0,2,1,3,Gd,7,0,Attchd,2009.0,Unf,2.0,614.0,Y,169,45,0,0,0,none,6,2010,215200,1,1,2.5,214,93.4433347807208,12.279323107269766
2062,905106150,RL,109.0,8724,Reg,Inside,Sawyer,1Fam,1Story,5,5,1968,1968,Gable,VinylSd,VinylSd,None,0.0,TA,CBlock,Gd,BLQ,Unf,894.0,Gd,894,0,894,0.0,0.0,1,0,3,TA,5,1,Attchd,1968.0,Fin,2.0,450.0,Y,0,0,0,0,0,none,5,2007,129000,39,39,1.0,0,72.14765100671141,11.76756768334381
351,527131030,RL,40.0,5664,IR1,Inside,StoneBr,TwnhsE,1Story,8,5,2000,2000,Gable,CemntBd,CmentBd,None,0.0,Gd,PConc,Gd,GLQ,Unf,1501.0,Ex,1659,0,1659,1.0,0.0,2,0,2,Ex,5,1,Attchd,2000.0,Fin,2.0,499.0,Y,212,59,0,0,0,none,10,2009,278000,9,9,3.0,271,87.9746835443038,12.535376392672774
2393,528142010,RL,103.0,12867,IR1,Corner,NridgHt,1Fam,2Story,8,5,2005,2006,Gable,CemntBd,CmentBd,none,0.0,Gd,PConc,Ex,Unf,Unf,1209.0,Ex,1209,1044,2253,0.0,0.0,2,1,3,Ex,8,1,Attchd,2005.0,Fin,2.0,575.0,Y,243,142,0,0,0,none,7,2006,344133,1,0,2.5,385,99.40294627383015,12.748783489541202
12,527165230,RL,0.0,7980,IR1,Inside,Gilbert,1Fam,1Story,6,7,1992,2007,Gable,HdBoard,HdBoard,None,0.0,TA,PConc,Gd,ALQ,Unf,1168.0,Ex,1187,0,1187,1.0,0.0,2,0,3,TA,6,0,Attchd,1992.0,Fin,2.0,420.0,Y,483,21,0,0,0,GdPrv,3,2010,185000,18,3,3.0,504,78.55626326963906,12.128111104060462
2339,527250040,RL,100.0,34650,Reg,Inside,Gilbert,2fmCon,1Story,5,5,1955,1955,Hip,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,TA,Rec,Unf,1056.0,TA,1056,0,1056,1.0,0.0,1,0,3,TA,5,0,Attchd,1955.0,Fin,2.0,572.0,Y,264,0,0,0,0,none,1,2006,145000,51,51,2.0,264,68.65530303030303,11.884489021402711
624,535104120,RL,92.0,10573,IR1,Corner,NAmes,1Fam,1Story,6,6,1961,1961,Hip,MetalSd,MetalSd,BrkFace,3.0,TA,CBlock,TA,Rec,Unf,1453.0,Ex,1453,0,1453,1.0,0.0,2,0,3,TA,6,1,Attchd,1961.0,RFn,2.0,530.0,Y,0,49,0,0,288,GdPrv,4,2009,187500,48,48,3.0,337,64.52167928423951,12.141534124392603
86,532376160,RL,65.0,8450,Reg,Inside,Sawyer,1Fam,1Story,5,8,1965,2009,Gable,MetalSd,MetalSd,None,0.0,TA,CBlock,TA,GLQ,BLQ,894.0,Ex,894,0,894,1.0,0.0,1,0,3,TA,5,1,Detchd,1973.0,Unf,1.0,336.0,Y,416,144,0,0,0,MnPrv,4,2010,138500,45,1,2.0,560,77.46085011185683,11.83862560460953
1534,909277040,RL,0.0,11700,IR1,Inside,Crawfor,1Fam,1.5Fin,5,6,1937,1995,Gable,WdShing,Wd Shng,None,0.0,TA,CBlock,TA,BLQ,Unf,942.0,Ex,1265,673,1938,0.0,0.0,2,0,4,Gd,7,1,Detchd,1937.0,Unf,1.0,240.0,Y,0,40,0,0,0,none,7,2008,198000,71,13,2.0,40,68.75,12.196022309676673
2243,911103060,C (all),75.0,8250,Reg,Inside,IDOTRR,2fmCon,2Story,5,6,1895,2006,Gable,VinylSd,VinylSd,None,0.0,TA,CBlock,TA,Unf,Unf,957.0,Fa,1034,957,1991,0.0,0.0,2,0,4,TA,9,0,none,0.0,none,0.0,0.0,N,0,0,133,0,0,none,6,2007,119600,112,1,2.0,133,40.56987788331072,11.691908120498669
1957,535450190,RL,60.0,8064,Reg,Corner,NAmes,1Fam,1.5Fin,5,7,1949,2006,Gable,MetalSd,MetalSd,None,0.0,TA,CBlock,TA,Unf,Unf,672.0,Ex,672,252,924,0.0,0.0,1,0,3,TA,6,1,Detchd,2003.0,Unf,2.0,576.0,Y,0,0,0,0,0,MnPrv,7,2007,122900,58,1,1.0,0,77.00501253132832,11.719126295554126
380,527355150,RL,80.0,9600,Reg,Inside,NWAmes,1Fam,1Story,8,5,1981,1981,Hip,BrkFace,BrkFace,None,0.0,Gd,PConc,Gd,ALQ,Unf,2524.0,TA,2524,0,2524,1.0,0.0,2,1,4,Gd,9,1,Attchd,1981.0,Fin,2.0,542.0,Y,474,120,0,0,0,MnPrv,7,2009,278000,28,28,3.5,594,55.07131537242472,12.535376392672774
2860,909276010,RL,0.0,11435,IR1,Corner,Crawfor,1Fam,2Story,8,7,1929,1950,Gable,BrkFace,Stucco,None,0.0,TA,PConc,Gd,Unf,Unf,792.0,Fa,792,725,1517,0.0,0.0,1,0,3,Gd,7,2,Detchd,1931.0,Unf,2.0,400.0,Y,0,0,0,0,0,none,6,2006,230000,77,56,1.0,0,99.6102208748376,12.345834587905333
2517,533250130,RL,30.0,9549,IR1,CulDSac,Veenker,TwnhsE,1Story,8,5,1995,1996,Hip,BrkFace,BrkFace,None,0.0,Gd,PConc,Gd,LwQ,GLQ,1494.0,Ex,1494,0,1494,1.0,0.0,1,1,2,Ex,6,1,Attchd,1995.0,Fin,2.0,481.0,Y,0,30,0,0,216,none,4,2006,270000,11,10,2.5,246,90.36144578313252,12.506177237980511
1933,535302070,RL,60.0,10950,Reg,Inside,NAmes,1Fam,1Story,6,6,1952,1952,Hip,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,TA,ALQ,Unf,948.0,TA,948,0,948,0.0,0.0,1,0,2,TA,5,0,Detchd,1952.0,Unf,2.0,410.0,N,0,48,0,0,0,none,4,2007,125000,55,55,1.0,48,65.92827004219409,11.736069016284437
820,906340110,RL,79.0,10637,Reg,Inside,CollgCr,1Fam,1Story,8,5,2007,2008,Hip,VinylSd,VinylSd,Stone,336.0,Gd,PConc,Ex,GLQ,Unf,1705.0,Ex,1718,0,1718,1.0,0.0,2,0,3,Gd,7,1,Attchd,2007.0,RFn,3.0,826.0,Y,208,44,0,0,0,none,9,2009,297000,2,1,3.0,252,86.76599474145486,12.601487417784837
675,535426150,RL,80.0,9000,IR1,Inside,NAmes,1Fam,1Story,6,6,1958,1958,Flat,Wd Sdng,Wd Sdng,BrkFace,82.0,TA,CBlock,Gd,Unf,Unf,160.0,Fa,1142,0,1142,0.0,0.0,1,0,2,TA,5,1,Basment,1958.0,RFn,1.0,384.0,Y,0,28,64,0,0,none,4,2009,113500,51,51,1.0,92,87.17357910906298,11.639558115903595
2910,923225240,RM,41.0,2665,Reg,Inside,MeadowV,TwnhsE,2Story,5,6,1977,1977,Gable,CemntBd,CmentBd,None,0.0,TA,PConc,TA,ALQ,Rec,757.0,Ex,925,550,1475,0.0,0.0,2,0,4,TA,6,1,Attchd,1977.0,RFn,1.0,336.0,Y,104,26,0,0,0,none,7,2006,127000,29,29,2.0,130,56.89964157706093,11.751942365440728
21,527358140,RL,105.0,11751,IR1,Inside,NWAmes,1Fam,1Story,6,6,1977,1977,Hip,Plywood,Plywood,BrkFace,480.0,TA,CBlock,Gd,BLQ,Unf,1844.0,Ex,1844,0,1844,0.0,0.0,2,0,3,TA,7,1,Attchd,1977.0,RFn,2.0,546.0,Y,0,122,0,0,0,MnPrv,1,2010,190000,33,33,2.0,122,51.51843817787419,12.154779351142624
1873,534177210,RL,80.0,9600,Reg,Inside,NWAmes,1Fam,1Story,7,6,1973,1973,Hip,HdBoard,HdBoard,BrkFace,320.0,TA,CBlock,TA,ALQ,Unf,1242.0,Fa,1242,0,1242,0.0,0.0,1,1,3,TA,6,1,Attchd,1973.0,Unf,2.0,528.0,Y,0,0,0,0,0,none,9,2007,175500,34,34,1.5,0,70.65217391304348,12.075394321888057
2125,907135050,RL,60.0,8428,IR2,Inside,CollgCr,1Fam,1Story,5,7,1994,1994,Gable,VinylSd,VinylSd,None,0.0,TA,PConc,Gd,GLQ,Unf,990.0,Ex,990,0,990,1.0,0.0,1,0,3,TA,5,0,Detchd,1995.0,Unf,1.0,384.0,Y,256,0,0,0,0,none,7,2007,146000,13,13,2.0,256,73.73737373737374,11.891361900690473
1489,908102260,RL,75.0,9937,Reg,Inside,Edwards,1Fam,1Story,5,6,1965,1965,Gable,HdBoard,HdBoard,None,0.0,Gd,CBlock,TA,BLQ,LwQ,1256.0,Gd,1256,0,1256,1.0,0.0,1,1,3,TA,6,0,Attchd,1965.0,Fin,1.0,276.0,Y,736,68,0,0,0,none,6,2008,147500,43,43,2.5,804,58.718152866242036,11.901583454762012
2383,528110050,RL,107.0,13891,Reg,Inside,NridgHt,1Fam,1Story,10,5,2006,2006,Gable,VinylSd,VinylSd,none,0.0,Ex,PConc,Ex,GLQ,Unf,2076.0,Ex,2076,0,2076,1.0,0.0,2,1,2,Ex,7,1,Attchd,2006.0,Fin,3.0,850.0,Y,216,229,0,0,0,none,9,2006,465000,0,0,3.5,445,111.99421965317919,13.049792684569493
983,923275040,RL,0.0,9101,IR1,Corner,Mitchel,1Fam,SFoyer,5,6,1978,1978,Gable,Plywood,Plywood,BrkFace,104.0,TA,PConc,Gd,GLQ,Unf,1097.0,Ex,1110,0,1110,1.0,0.0,1,0,1,Gd,4,1,Attchd,1978.0,Fin,2.0,602.0,Y,303,30,0,0,0,none,7,2009,165500,31,31,2.0,333,74.98867240598096,12.016726473799254
1325,902406090,RM,81.0,12150,Reg,Inside,OldTown,1Fam,1.5Fin,5,5,1954,1954,Gable,MetalSd,MetalSd,BrkFace,335.0,TA,BrkTil,TA,Unf,Unf,1050.0,Ex,1050,745,1795,0.0,0.0,2,0,4,TA,7,0,Attchd,1954.0,Unf,1.0,352.0,Y,0,0,0,0,0,none,11,2008,131500,54,54,2.0,0,46.22144112478032,11.786762130599957
1378,905102170,RL,70.0,11200,Reg,Inside,Sawyer,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,HdBoard,None,0.0,TA,CBlock,TA,Rec,Unf,1040.0,Ex,1040,0,1040,1.0,0.0,1,0,3,TA,5,0,Detchd,1965.0,Unf,1.0,384.0,Y,0,0,0,0,0,none,2,2008,129500,43,43,2.0,0,62.25961538461539,11.771436160121729
1537,909281110,RL,100.0,9670,IR1,Inside,Crawfor,1Fam,2Story,8,6,1935,1950,Gable,BrkFace,Stucco,Stone,40.0,TA,PConc,TA,LwQ,Unf,608.0,TA,983,890,1873,0.0,0.0,1,1,4,TA,9,2,Detchd,1935.0,Fin,2.0,786.0,Y,0,0,207,0,0,none,6,2008,257076,73,58,1.5,207,103.61789600967352,12.45712704000522
905,909101140,RL,60.0,10998,Reg,Inside,Edwards,1Fam,1.5Fin,5,5,1941,1960,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,TA,LwQ,BLQ,984.0,Ex,984,620,1604,0.0,0.0,2,0,3,TA,6,0,Detchd,1977.0,Unf,2.0,660.0,Y,0,68,0,0,0,none,7,2009,117000,68,49,2.0,68,45.20865533230294,11.669929213779893
1532,909275050,RL,60.0,7200,Reg,Inside,Crawfor,1Fam,2Story,7,6,1931,2000,Gable,Stucco,Wd Shng,None,0.0,TA,BrkTil,Gd,Unf,Unf,776.0,TA,851,651,1502,0.0,0.0,1,1,3,TA,6,1,Attchd,1931.0,RFn,1.0,270.0,P,0,0,112,0,0,MnPrv,2,2008,149000,77,8,1.5,112,65.40825285338016,11.911701584927597
132,534475100,RL,80.0,9920,Reg,Inside,NAmes,1Fam,1Story,5,5,1954,1954,Gable,HdBoard,HdBoard,Stone,110.0,TA,CBlock,TA,Rec,LwQ,1056.0,TA,1063,0,1063,1.0,0.0,1,0,3,TA,6,0,Attchd,1954.0,RFn,1.0,280.0,Y,0,0,164,0,0,MnPrv,2,2010,128000,56,56,2.0,164,60.40585181689476,11.759785542901755
1078,528188090,RL,36.0,2448,Reg,Inside,NridgHt,Twnhs,2Story,7,5,2003,2004,Gable,VinylSd,Wd Shng,Stone,106.0,Gd,PConc,Gd,Unf,Unf,764.0,Ex,764,862,1626,0.0,0.0,2,1,2,Gd,6,0,BuiltIn,2003.0,RFn,2.0,474.0,Y,0,27,0,0,0,none,10,2008,155000,5,4,2.5,27,64.85355648535565,11.951180395901384
2511,533221080,FV,0.0,2998,Reg,Inside,Somerst,TwnhsE,2Story,6,5,2000,2000,Gable,MetalSd,MetalSd,BrkFace,513.0,Gd,PConc,Gd,GLQ,Unf,756.0,Ex,768,756,1524,0.0,0.0,2,1,2,Gd,4,0,Detchd,2000.0,Unf,2.0,440.0,Y,0,32,0,0,0,none,6,2006,166000,6,6,2.5,32,72.80701754385964,12.01974306733868
912,909250220,RL,65.0,7804,Reg,Inside,SWISU,1Fam,1.5Fin,4,3,1928,1950,Gable,WdShing,Plywood,None,0.0,TA,BrkTil,TA,BLQ,Unf,1122.0,TA,1328,653,1981,1.0,0.0,2,0,4,Gd,7,2,Detchd,1981.0,Unf,2.0,576.0,Y,431,44,0,0,0,MnPrv,12,2009,135000,81,59,3.0,475,43.50628424105704,11.813030057420567
2351,527356020,RL,80.0,16692,IR1,Inside,NWAmes,1Fam,2Story,7,5,1978,1978,Gable,Plywood,Plywood,BrkFace,184.0,TA,CBlock,Gd,BLQ,LwQ,1392.0,TA,1392,1392,2784,1.0,0.0,3,1,5,Gd,12,2,Attchd,1978.0,RFn,2.0,564.0,Y,0,112,0,0,440,MnPrv,7,2006,250000,28,28,4.5,552,59.86590038314176,12.429216196844383
330,923226250,RM,21.0,1476,Reg,Inside,MeadowV,Twnhs,2Story,4,7,1970,1970,Gable,CemntBd,CmentBd,None,0.0,TA,CBlock,TA,GLQ,Unf,546.0,Ex,546,546,1092,0.0,0.0,1,1,3,TA,5,0,none,0.0,none,0.0,0.0,Y,200,26,0,0,0,none,3,2010,76000,40,40,1.5,226,46.3980463980464,11.238488619268468
2586,535305120,RL,75.0,10170,Reg,Corner,NAmes,1Fam,1Story,6,6,1951,1951,Hip,Wd Sdng,Wd Sdng,BrkFace,522.0,TA,CBlock,TA,Unf,Unf,216.0,TA,1575,0,1575,0.0,0.0,1,1,2,Gd,5,1,Attchd,1951.0,Unf,2.0,400.0,Y,0,0,0,0,0,none,6,2006,155000,55,55,1.5,0,86.54383026242323,11.951180395901384
224,905106140,RL,80.0,9364,Reg,Corner,Sawyer,1Fam,2Story,6,7,1969,1969,Gable,HdBoard,HdBoard,Stone,143.0,TA,CBlock,TA,ALQ,Unf,663.0,TA,663,689,1352,0.0,0.0,1,1,4,TA,7,0,Attchd,1969.0,Fin,1.0,299.0,Y,379,36,0,0,0,MnPrv,3,2010,158000,41,41,1.5,415,78.41191066997519,11.970350312009105
98,533212020,FV,24.0,2544,Reg,Inside,Somerst,Twnhs,2Story,7,5,2004,2005,Gable,MetalSd,MetalSd,None,0.0,Gd,PConc,Gd,GLQ,ALQ,600.0,Ex,600,600,1200,1.0,0.0,2,1,2,Gd,4,0,Detchd,2004.0,RFn,2.0,480.0,Y,0,172,0,0,0,none,2,2010,149500,6,5,3.5,172,83.05555555555556,11.915051671812877
2565,534479300,RL,82.0,9888,Reg,Inside,NAmes,1Fam,1Story,5,6,1954,1975,Gable,MetalSd,MetalSd,None,0.0,TA,CBlock,TA,BLQ,Unf,936.0,TA,936,0,936,0.0,0.0,1,0,2,TA,5,0,Attchd,1954.0,Unf,1.0,240.0,Y,0,0,160,0,0,MnPrv,3,2006,121000,52,31,1.0,160,64.63675213675214,11.703545824578878
1934,535304170,RL,68.0,7942,Reg,Inside,NAmes,1Fam,1Story,6,7,1953,1953,Hip,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,TA,Rec,ALQ,1040.0,TA,1040,0,1040,0.0,1.0,1,0,3,TA,6,0,Attchd,1953.0,Fin,1.0,293.0,Y,0,0,0,0,0,MnPrv,6,2007,136000,54,54,1.5,0,65.38461538461539,11.820410164718188
997,527107010,RL,0.0,15038,IR2,Corner,Gilbert,1Fam,2Story,6,5,1996,1996,Gable,HdBoard,HdBoard,None,0.0,TA,PConc,Gd,Rec,Unf,916.0,Gd,916,720,1636,0.0,0.0,2,1,3,TA,7,1,Attchd,1996.0,Fin,2.0,386.0,Y,168,84,0,0,0,none,11,2008,173000,12,12,2.5,252,67.78996865203762,12.061046873479915
64,528382020,RL,92.0,11764,IR1,CulDSac,NoRidge,1Fam,2Story,8,7,1999,2007,Gable,VinylSd,VinylSd,BrkFace,348.0,Gd,PConc,Gd,GLQ,Unf,1152.0,Ex,1164,1106,2270,0.0,0.0,2,1,4,Gd,9,1,Attchd,1999.0,Fin,3.0,671.0,Y,132,57,0,0,0,none,4,2010,290000,11,3,2.5,189,84.7457627118644,12.577636201962656
1799,528458130,FV,75.0,9000,Reg,Inside,Somerst,1Fam,2Story,8,5,2007,2007,Gable,CemntBd,CmentBd,None,0.0,Gd,PConc,Gd,GLQ,Unf,1184.0,Ex,1184,1426,2610,0.0,0.0,2,1,4,Ex,11,1,BuiltIn,2007.0,Fin,2.0,550.0,Y,208,364,0,0,0,none,8,2007,303477,0,0,2.5,572,79.98866631523458,12.623061104072981
230,905109170,RL,0.0,20062,IR1,Inside,ClearCr,1Fam,1Story,7,7,1977,2001,Hip,Wd Sdng,Wd Sdng,None,0.0,Gd,CBlock,Gd,ALQ,Unf,1420.0,Gd,1483,0,1483,1.0,0.0,1,1,1,TA,4,2,Attchd,1977.0,RFn,2.0,690.0,Y,496,0,0,0,0,none,4,2010,270000,33,9,2.5,496,93.00723389596969,12.506177237980511
1295,902109160,RM,81.0,7308,Reg,Corner,OldTown,1Fam,1.5Fin,5,5,1920,1950,Gable,WdShing,Wd Shng,None,0.0,Fa,BrkTil,TA,Rec,Unf,936.0,Gd,960,780,1740,0.0,0.0,1,0,2,Ex,6,1,Detchd,1920.0,Unf,1.0,225.0,N,0,0,236,0,0,none,6,2008,122250,88,58,1.0,236,45.68385650224215,11.713823407337118
638,535178120,RL,70.0,8750,Reg,Inside,NAmes,1Fam,1Story,5,5,1955,1955,Gable,AsbShng,AsbShng,None,0.0,TA,CBlock,TA,Rec,LwQ,1382.0,Gd,1382,0,1382,0.0,1.0,1,0,3,Gd,6,0,Attchd,1955.0,Unf,1.0,350.0,Y,280,0,0,0,0,GdWo,7,2009,153000,54,54,1.5,280,55.35455861070912,11.938193200374572
